time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656331250,c1e865,43.69515609741211,-79.63152508402982,,,,SAF208  ,True,False,False,,,,1656331247.488,1656331249.34
1656331250,c1e95a,43.68708723682468,-79.62339673723494,,,,SWP269  ,True,False,False,,,,1656331237.003,1656331238.323
1656331260,c1e865,43.69610595703125,-79.6325790050418,,,,SAF208  ,True,False,False,,,,1656331259.312,1656331259.312
1656331260,c1e95a,43.68708723682468,-79.62339673723494,,,,SWP269  ,True,False,False,,,,1656331237.003,1656331238.323
1656331260,c1e805,43.67641513630495,-79.65544019426619,,,,,True,False,False,,,,1656331259.535,1656331259.535
1656331260,aa395b,43.06512451171875,-79.1147844181504,200.4385002088932,310.1068277548617,0.0,SKW3017 ,False,False,False,1150,10972.800000000001,11353.800000000001,1656331259.767,1656331259.992
1656331260,c038ac,43.67961502075195,-79.61787201637446,,,,ACA185  ,True,False,False,,,,1656331259.57,1656331259.57
1656331260,78149e,43.67911148071289,-79.65488699979562,50.948140167879416,226.63657704161673,0.0,CSN5051 ,True,False,False,4153,,,1656331259.718,1656331259.718
1656331260,c04167,43.92485046386719,-79.48295415833934,92.74271101773982,326.30993247402023,4.8768,CFYTY   ,False,False,False,6353,5417.820000000001,5509.26,1656331259.717,1656331259.976
1656331260,c01e28,43.73478698730469,-79.57595470339749,83.36691606231153,227.25064089703753,-4.8768,ACA401  ,False,False,False,1076,502.92,502.92,1656331259.508,1656331259.992
1656331260,c07eda,43.8772996805482,-79.77937970842635,153.87380370177453,91.53263179035798,-7.477760000000001,WJA520  ,False,False,False,7165,2476.5,2499.36,1656331259.976,1656331259.988
1656331260,c1e7e3,43.66832668498411,-79.60408891950334,,,,RED3    ,True,False,False,,,,1656331242.895,1656331242.895
1656331260,c0371f,43.5532030008607,-79.83594621930803,133.24496848132227,322.6876726961165,19.182080000000003,WJA701  ,False,False,False,2244,2506.98,2514.6,1656331259.838,1656331259.977
1656331260,c05bd5,43.679848363844016,-79.61989811488559,,,,ACA604  ,True,False,False,,,,1656331255.902,1656331255.902
1656331260,c063c3,43.74234474311441,-80.17658778599332,93.14988512528019,178.41764607738142,-2.60096,CGLUG   ,False,False,False,0654,1272.54,1264.92,1656331259.838,1656331259.977
1656331260,c060b3,43.33131408691406,-79.10756665606829,123.68072591984897,340.05761541830304,-5.20192,POE118  ,False,False,False,4361,1767.8400000000001,1790.7,1656331259.992,1656331259.992
1656331260,a162fc,43.67712505793167,-79.16669573102678,233.2088762034523,45.983138405551074,-12.679680000000001,N189K   ,False,False,False,6640,4808.22,4869.18,1656331259.971,1656331259.976
1656331260,a1094c,43.21504211425781,-79.20548549918237,154.49944735270861,308.51083360407245,-8.128,EDV4942 ,False,False,False,7135,4450.08,4526.28,1656331259.813,1656331259.992
